TANGGAL,KASUS BARU,JUMLAH KASUS,PERAWATAN,SEMBUH,SK,MENINGGAL,MK,TINGKAT KEMATIAN
3/2/2020,2,2,2,0,0,0,0,0.00%
3/3/2020,0,2,2,0,0,0,0,0.00%
3/4/2020,0,2,2,0,0,0,0,0.00%
3/5/2020,0,2,2,0,0,0,0,0.00%
3/6/2020,2,4,4,0,0,0,0,0.00%
3/7/2020,0,4,4,0,0,0,0,0.00%
3/8/2020,2,6,6,0,0,0,0,0.00%
3/9/2020,13,19,19,0,0,0,0,0.00%
3/10/2020,8,27,27,0,0,0,0,0.00%
3/11/2020,7,34,30,2,2,2,2,5.88%
3/12/2020,0,34,27,1,3,2,4,11.76%
3/13/2020,35,69,60,2,5,0,4,5.80%
3/14/2020,27,96,83,3,8,1,5,5.21%
3/15/2020,21,117,104,0,8,0,5,4.27%
3/16/2020,17,134,121,0,8,0,5,3.73%
3/17/2020,38,172,156,1,9,2,7,4.07%
3/18/2020,55,227,197,2,11,12,19,8.37%
3/19/2020,82,309,269,4,15,6,25,8.09%
3/20/2020,60,369,321,1,16,7,32,8.67%
3/21/2020,81,450,392,4,20,6,38,8.44%
3/22/2020,64,514,437,9,29,10,48,9.34%
3/23/2020,65,579,500,1,30,1,49,8.46%
3/24/2020,106,685,600,0,30,6,55,8.03%
3/25/2020,105,790,701,1,31,3,58,7.34%
3/26/2020,103,893,780,4,35,20,78,8.73%
3/27/2020,153,1046,913,11,46,9,87,8.32%
3/28/2020,109,1155,994,13,59,15,102,8.83%
3/29/2020,130,1285,1107,5,64,12,114,8.87%
3/30/2020,114,1399,1202,11,75,8,122,8.72%
3/31/2020,129,1528,1311,6,81,14,136,8.90%
04/01/2020,149,1677,1417,22,103,21,157,9.36%
04/02/2020,113,1790,1508,9,112,13,170,9.50%
4/3/2020,196,1986,1671,22,134,11,181,9.11%
4/4/2020,106,2092,1751,16,150,10,191,9.13%
4/5/2020,181,2273,1911,14,164,7,198,8.71%
4/6/2020,218,2491,2090,28,192,11,209,8.39%
4/7/2020,247,2738,2313,12,204,12,221,8.07%
4/8/2020,218,2956,2494,18,222,19,240,8.12%
4/9/2020,337,3293,2761,30,252,40,280,8.50%
4/10/2020,219,3512,2924,30,282,26,306,8.71%
4/11/2020,330,3842,3229,4,286,21,327,8.51%
4/12/2020,399,4241,3509,73,359,46,373,8.80%
4/13/2020,316,4557,3778,21,380,26,399,8.76%
4/14/2020,282,4839,3954,46,426,60,459,9.49%
4/15/2020,297,5136,4221,20,446,10,469,9.13%
4/16/2020,380,5516,4472,102,548,27,496,8.99%
4/17/2020,407,5923,4796,59,607,24,520,8.78%
4/18/2020,325,6248,5082,24,631,15,535,8.56%
4/19/2020,327,6575,5307,55,686,47,582,8.85%
4/20/2020,185,6760,5423,61,747,8,590,8.73%
4/21/2020,375,7135,5677,95,842,26,616,8.63%
4/22/2020,283,7418,5869,71,913,20,636,8.57%
4/23/2020,357,7775,6168,47,960,11,647,8.32%
4/24/2020,436,8211,6520,42,1002,42,689,8.39%
4/25/2020,396,8607,6845,40,1042,31,720,8.37%
4/26/2020,275,8882,7032,65,1107,23,743,8.37%
4/27/2020,214,9096,7180,44,1151,22,765,8.41%
4/28/2020,415,9511,7484,103,1254,8,773,8.13%
4/29/2020,260,9771,7596,137,1391,11,784,8.02%
4/30/2020,347,10118,7804,131,1522,8,792,7.83%
05/01/2020,433,10551,8160,69,1591,8,800,7.58%
5/2/2020,292,10843,8347,74,1665,31,831,7.66%
5/3/2020,349,11192,8471,211,1876,14,845,7.55%
5/4/2020,395,11587,8769,78,1954,19,864,7.46%
5/5/2020,484,12071,9002,243,2197,8,872,7.22%
05/06/2020,367,12438,9226,120,2317,23,895,7.20%
5/7/2020,338,12776,9465,64,2381,35,930,7.28%
5/8/2020,336,13112,9675,113,2494,13,943,7.19%
5/9/2020,533,13645,10079,113,2607,16,959,7.03%
5/10/2020,387,14032,10361,91,2698,14,973,6.93%
5/11/2020,233,14265,10393,183,2881,18,991,6.95%
5/12/2020,484,14749,10679,182,3063,16,1007,6.83%
5/13/2020,689,15438,11123,224,3287,21,1028,6.66%
5/14/2020,568,16006,11445,231,3518,15,1043,6.52%
5/15/2020,490,16496,11617,285,3803,33,1076,6.52%
5/16/2020,529,17025,12025,108,3911,13,1089,6.40%
5/17/2020,489,17514,12237,218,4129,59,1148,6.55%
5/18/2020,496,18010,12495,195,4324,43,1191,6.61%
5/19/2020,486,18496,12808,143,4467,30,1221,6.60%
5/20/2020,693,19189,13372,108,4575,21,1242,6.47%
5/21/2020,973,20162,14046,263,4838,36,1278,6.34%
5/22/2020,634,20796,14413,219,5057,48,1326,6.38%
5/23/2020,949,21745,15145,192,5249,25,1351,6.21%
5/24/2020,526,22271,15497,153,5402,21,1372,6.16%
5/25/2020,479,22750,15717,240,5642,19,1391,6.11%
5/26/2020,415,23165,15870,235,5877,27,1418,6.12%
5/27/2020,686,23851,16321,180,6057,55,1473,6.18%
5/28/2020,687,24538,16802,183,6240,23,1496,6.10%
5/29/2020,678,25216,17204,252,6492,24,1520,6.03%
5/30/2020,557,25773,17185,523,7015,53,1573,6.10%
5/31/2020,700,26473,17552,293,7308,40,1613,6.09%
6/1/2020,467,26940,17662,329,7637,28,1641,6.09%
6/2/2020,609,27549,17951,298,7935,22,1663,6.04%
6/3/2020,684,28233,18129,471,8406,35,1698,6.01%
6/4/2020,585,28818,18205,486,8892,23,1721,5.97%
6/5/2020,703,29521,18308,551,9443,49,1770,6.00%
6/6/2020,993,30514,18806,464,9907,31,1801,5.90%
7/6/2020,672,31186,18837,591,10498,50,1851,5.94%
8/6/2020,847,32033,19246,406,10904,32,1883,5.88%
9/6/2020,1042,33075,19738,510,11414,40,1923,5.81%
10/06/2020,1241,34316,20228,715,12129,36,1959,5.71%
11/06/2020,979,35295,20659,507,12636,41,2000,5.67%
12/06/2020,1111,36406,21145,577,13213,48,2048,5.63%
13/06/2020,1014,37420,21553,563,13776,43,2091,5.59%
14/06/2020,857,38277,21612,755,14531,43,2134,5.58%
15/06/2020,1017,39294,21973,592,15123,64,2198,5.59%
16/06/2020,1106,40400,22466,580,15703,33,2231,5.52%
17/06/2020,1031,41431,22912,540,16243,45,2276,5.49%
