DATE,KASUS BARU,JUMLAH KASUS,KASUS AKTIF,SEMBUH,SK,MENINGGAL,MK,TINGKAT KEMATIAN
03/18/2020,1,1,1,0,0,0,0,0
03/19/2020,2,3,3,0,0,0,0,0.00%
03/20/2020,6,9,9,0,0,0,0,0.00%
03/21/2020,0,9,9,0,0,0,0,0.00%
03/22/2020,0,9,9,0,0,0,0,0.00%
03/23/2020,2,11,11,0,0,0,0,0.00%
03/24/2020,0,11,11,0,0,0,0,0.00%
03/25/2020,0,11,11,0,0,0,0,0.00%
03/26/2020,0,11,11,0,0,0,0,0.00%
03/27/2020,0,11,11,0,0,0,0,0.00%
03/28/2020,6,17,17,0,0,0,0,0.00%
03/29/2020,0,17,16,0,0,1,1,5.88%
03/30/2020,0,17,16,0,0,0,1,5.88%
03/31/2020,3,20,19,0,0,0,1,5.00%
04/01/2020,1,21,20,0,0,0,1,4.76%
04/02/2020,0,21,20,0,0,0,1,4.76%
04/03/2020,1,22,21,0,0,0,1,4.55%
04/04/2020,2,24,21,2,2,0,1,4.17%
05/04/2020,1,25,22,0,2,0,1,4.00%
06/04/2020,6,31,28,0,2,0,1,3.23%
07/04/2020,0,31,27,1,3,0,1,3.23%
08/04/2020,1,32,25,3,6,0,1,3.13%
09/04/2020,0,32,25,0,6,0,1,3.13%
10/04/2020,3,35,28,0,6,0,1,2.86%
11/04/2020,0,35,28,0,6,0,1,2.86%
12/04/2020,0,35,28,0,6,0,1,2.86%
13/04/2020,0,35,28,0,6,0,1,2.86%
14/04/2020,0,35,28,0,6,0,1,2.86%
15/04/2020,0,35,26,2,8,0,1,2.86%
16/04/2020,9,44,33,2,10,0,1,2.27%
17/04/2020,0,44,32,1,11,0,1,2.27%
18/04/2020,10,54,42,0,11,0,1,1.85%
19/04/2020,5,59,47,0,11,0,1,1.69%
20/04/2020,4,63,51,0,11,0,1,1.59%
21/04/2020,5,68,56,0,11,0,1,1.47%
22/04/2020,1,69,57,0,11,0,1,1.45%
23/04/2020,5,74,62,0,11,0,1,1.35%
24/04/2021,11,85,73,0,11,0,1,1.18%
25/04/2020,12,97,85,0,11,0,1,1.03%
26/04/2020,8,105,93,0,11,0,1,0.95%
27/04/2020,2,107,94,1,12,0,1,0.93%
28/04/2020,8,115,102,0,12,0,1,0.87%
29/04/2020,4,119,106,0,12,0,1,0.84%
30/04/2020,15,134,120,1,13,0,1,0.75%
01/05/2020,2,136,122,0,13,0,1,0.74%
02/05/2020,18,154,140,0,13,0,1,0.65%
03/05/2020,8,162,148,0,13,0,1,0.62%
04/05/2020,5,167,152,0,13,1,2,1.20%
05/05/2020,1,168,153,0,13,0,2,1.19%
06/05/2020,14,182,167,0,13,0,2,1.10%
07/05/2020,0,182,167,0,13,0,2,1.10%
08/05/2020,27,209,185,9,22,0,2,0.96%
09/05/2020,5,214,181,9,31,0,2,0.93%
10/05/2020,4,218,182,3,34,0,2,0.92%
11/05/2020,7,225,184,4,38,1,3,1.33%
12/05/2020,3,228,184,3,41,0,3,1.32%
13/05/2020,2,230,181,5,46,0,3,1.30%
14/05/2020,8,238,178,11,57,0,3,1.26%
15/05/2020,13,251,187,4,61,0,3,1.20%
16/05/2020,2,253,187,2,63,0,3,1.19%
17/05/2020,1,254,185,3,66,0,3,1.18%
18/05/2020,1,255,176,10,76,0,3,1.18%
19/05/2020,3,258,174,5,81,0,3,1.16%
20/05/2020,6,264,175,5,86,0,3,1.14%
21/05/2020,2,266,167,10,96,0,3,1.13%
22/05/2020,5,271,167,5,101,0,3,1.11%
23/05/2020,3,274,166,4,105,0,3,1.09%
24/05/2020,2,276,156,12,117,0,3,1.09%
25/05/2020,0,276,151,5,122,0,3,1.09%
26/05/2020,1,277,152,0,122,0,3,1.08%
27/05/2020,3,280,149,6,128,0,3,1.07%
28/05/2020,1,281,144,6,134,0,3,1.07%
29/05/2020,4,285,139,9,143,0,3,1.05%
30/05/2020,6,291,127,18,161,0,3,1.03%
31/05/2020,4,295,119,12,173,0,3,1.02%
01/06/2020,1,296,118,2,175,0,3,1.01%
02/06/2020,1,297,119,0,175,0,3,1.01%
03/06/2020,13,310,130,2,177,0,3,0.97%
